Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
MgCo2O4,Mg,1,1.31,86,2,2,2.939,10.736,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.619,-0.711,4.325,0.908,5.944,5.944
AlCo2O4,Al,1,1.61,67.5,3,1.9,-3.361,6.146,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-3.014,-2.078,-4.345,0.936,1.331,1.331
Co[AlCo]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Al,1,1.61,67.5,3,1.9,-2.475,6.49,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,-1.045,-0.21,-0.83,0.835,0.215,0.835
[Al0.125Co0.875][Al0.875Co1.125]O4,Al,0.125,1.61,67.5,3,1.9,-3.361,6.146,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Al,0.875,1.61,67.5,3,1.9,-2.475,6.49,Co,1.125,1.88,68.5,9,2.3,-0.351,-1.176,-2.177,-1.371,-1.831,0.806,0.346,0.806
[Al0.25Co0.75][Al0.75Co1.25]O4,Al,0.25,1.61,67.5,3,1.9,-3.361,6.146,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,0.75,1.61,67.5,3,1.9,-2.475,6.49,Co,1.25,1.88,68.5,9,2.3,-0.351,-1.176,-1.961,-1.137,-1.398,0.824,0.563,0.824
[Al0.375Co0.625][Al0.625Co1.375]O4,Al,0.375,1.61,67.5,3,1.9,-3.361,6.146,Co,0.625,1.88,79,9,2.3,-0.56,-1.206,Al,0.625,1.61,67.5,3,1.9,-2.475,6.49,Co,1.375,1.88,68.5,9,2.3,-0.351,-1.176,-2.518,-1.736,-1.977,0.782,0.541,0.782
Co[AlCo]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Al,1,1.61,67.5,3,1.9,-2.475,6.49,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,-0.935,-0.077,-0.629,0.858,0.306,0.858
VCo2O4,V,1,1.63,93,5,2.7,-5.036,-0.265,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-3.055,-1.768,0.278,1.287,3.333,3.333
MnCo2O4,Mn,1,1.55,81,7,2.3,-0.666,1.014,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.401,-2.491,0.472,0.09,2.873,2.873
[Mn0.5Co0.5][Mn0.5Co1.5]O4,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Mn,0.5,1.55,72,7,2.3,-0.687,0.532,Co,1.5,1.88,68.5,9,2.3,-0.351,-1.176,-2.39,-2.094,-0.726,0.296,1.664,1.664
[Mn0.125Co0.875][Mn0.875Co1.125]O4,Mn,0.125,1.55,81,7,2.3,-0.666,1.014,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Mn,0.875,1.55,72,7,2.3,-0.687,0.532,Co,1.125,1.88,68.5,9,2.3,-0.351,-1.176,-2.573,-1.292,-1.605,1.281,0.968,1.281
Co[MnCo]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Mn,1,1.55,72,7,2.3,-0.687,0.532,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,-3.487,-1.627,-2.957,1.86,0.53,1.86
